video_id publication_id  publication_temp_secondarylink                                  video_filename
1      1     uploads/1-iui-eics-figure.mp4                                               1-iui-eics-figure.mp4
2      6     http://hci.usask.ca/publications/2007/wedges.wmv                            wedges.wmv
3      7     http://hci.usask.ca/publications/2007/displayless.wmv                       displayless.wmv
4      17    http://hci.usask.ca/publications/2007/morphing.mov                          morphing.mov
5      18    http://hci.usask.ca/publications/2007/multipoint.mov                        multipoint.mov
6      19    http://hci.usask.ca/publications/2007/embodiments.mov                       embodiments.mov
7      20    http://hci.usask.ca/publications/2007/prousefinalbig.mov                    prousefinalbig.mov
8      22    http://hci.usask.ca/publications/2007/offscreen.mov                         offscreen.mov
21     22    http://hci.usask.ca/publications/2007/offscreen.mov                         offscreen.mov
9      24    http://hci.usask.ca/publications/2007/tabletopinteractiontechniques.mov     tabletopinteractiontechniques.mov
10     25    http://hci.usask.ca/publications/2006/timeline.wmv                          timeline.wmv
15     25    http://hci.usask.ca/publications/2006/timeline.wmv                          timeline.wmv
11     26    http://hci.usask.ca/publications/2007/econic.mpg                            econic.mpg
12     28    http://hci.usask.ca/publications/2007/magic-window.wmv                      magic-window.wmv
13     33    http://hci.usask.ca/publications/2006/predict.mov                           predict.mov
14     39    http://hci.usask.ca/publications/2006/shared-desktop.wmv                    shared-desktop.wmv
10     40    http://hci.usask.ca/publications/2006/timeline.wmv                          timeline.wmv
15     40    http://hci.usask.ca/publications/2006/timeline.wmv                          timeline.wmv
16     41    http://hci.usask.ca/publications/2006/cutouts.mov                           cutouts.mov
17     42    http://hci.usask.ca/publications/2006/interactiontechniques.mov             interactiontechniques.mov
18     43    http://hci.usask.ca/publications/2006/tnt.wmv                               tnt.wmv
19     45    http://hci.usask.ca/publications/2006/superflick.mov                        superflick.mov
20     46    http://hci.usask.ca/publications/2006/pcursorvideo.mov                      pcursorvideo.mov
8      47    http://hci.usask.ca/publications/2006/offscreen.mov                         offscreen.mov
21     47    http://hci.usask.ca/publications/2006/offscreen.mov                         offscreen.mov
22     49    http://hci.usask.ca/publications/2006/listmap.mov                           listmap.mov
23     50    http://hci.usask.ca/publications/2006/sft.avi                               sft.avi
24     51    http://hci.usask.ca/publications/2006/shared-desktop.mov                    shared-desktop.mov
25     143   uploads/143-chiaugmentedwidgets_0004.wmv                                    143-chiaugmentedwidgets_0004.wmv
26     144   uploads/144-footprints.mov                                                  144-footprints.mov
27     148   uploads/148-ControlLevel_v4.wmv                                             148-ControlLevel_v4.wmv
28     154   uploads/154-Separability-video.wmv                                          154-Separability-video.wmv
29     165   uploads/165-2009-HapticPuck.Report2009-936-15.wmv                           165-2009-HapticPuck.Report2009-936-15.wmv
30     201   uploads/201-VideoFigure.mp4                                                 201-VideoFigure.mp4
31     202   uploads/202-VideoFigureBiofeedback.small.mp4                                202-VideoFigureBiofeedback.small.mp4
32     214   uploads/214-file168-1.mp4                                                   214-file168-1.mp4
33     255   uploads/255-CHI-2012-Games-for-Older-Adults-Gerling-et-al.wmv               255-CHI-2012-Games-for-Older-Adults-Gerling-et-al.wmv
34     256   uploads/256-My-Movie.wmv                                                    256-My-Movie.wmv
35     258   uploads/258-search-dashboard-video-figure.mp4                               258-search-dashboard-video-figure.mp4
36     262   uploads/262-EmotiViz-GI-2012.mov                                            262-EmotiViz-GI-2012.mov
37     286   uploads/286-KinectArms%20Introductory%20Video.mp4                           286-KinectArms%20Introductory%20Video.mp4
38     287   uploads/287-Dave-CHI-2013-v3.mp4                                            287-Dave-CHI-2013-v3.mp4
39     289   uploads/289-file179-3.mp4                                                   289-file179-3.mp4
40     290   uploads/290-CHI-2013-Preview---CC-v3.mp4                                    290-CHI-2013-Preview---CC-v3.mp4
41     292   uploads/292-Control-Your-Game-Self---CHI-2013.mp4                           292-Control-Your-Game-Self---CHI-2013.mp4
42     294   uploads/294-webwear-video-figure.mov                                        294-webwear-video-figure.mov
43     299   uploads/299-file117-1.mp4                                                   299-file117-1.mp4
44     300   uploads/300-SocialEmbodiments---CSCW-2013-v5.mp4                            300-SocialEmbodiments---CSCW-2013-v5.mp4
45     302   uploads/302-GI13-105-camera-ready.wmv                                       302-GI13-105-camera-ready.wmv
46     303   uploads/303-taylor_postureVideo.mp4                                         303-taylor_postureVideo.mp4
47     324   uploads/324-Effects_of_Gamification_on_Participation_and_Data_Quality_in_a_Real-World_Market_Research_Domain.mp4 324-Effects_of_Gamification_on_Participation_and_Data_Quality_in_a_Real-World_Market_Research_Domain.mp4
48     335   uploads/335-wong_cscw2014_vid.m4v                                           335-wong_cscw2014_vid.m4v
49     337   uploads/337-CHI-2014-Adrian-Demo-2-(1).mp4                                  337-CHI-2014-Adrian-Demo-2-(1).mp4
